Player,YR,TM,GP,MIN,FGM,FGA,FGPct,3PTPct,FTPct,OFF,DEF,REB,ASST,STL,BLK,TO,PF,PTS
Kevin Durant,2007,SEA,80,34.6,7.34,17.08,0.43,0.288,0.873,0.88,3.48,4.35,2.4,0.98,0.94,2.9,1.53,20.3
Kevin Durant,2008,OKC,74,38.99,8.93,18.78,0.476,0.422,0.863,1.04,5.47,6.51,2.77,1.3,0.72,3.04,1.81,25.28
Kevin Durant,2009,OKC,82,39.5,9.68,20.34,0.476,0.365,0.9,1.28,6.32,7.6,2.82,1.37,1.02,3.3,2.09,30.15
Kevin Durant,2010,OKC,78,38.95,9.12,19.72,0.462,0.35,0.88,0.73,6.1,6.83,2.74,1.13,0.97,2.79,2.04,27.71
Kevin Durant,2011,OKC,66,38.58,9.74,19.65,0.496,0.387,0.86,0.61,7.38,7.98,3.5,1.33,1.17,3.76,2.02,28.03
Kevin Durant,2012,OKC,81,38.51,9.02,17.69,0.51,0.416,0.905,0.57,7.33,7.9,4.62,1.43,1.3,3.46,1.77,28.15
Kevin Durant,2013,OKC,81,38.54,10.48,20.84,0.503,0.391,0.873,0.72,6.67,7.38,5.49,1.27,0.73,3.52,2.15,32.01
Tim Duncan,1997,SA,82,39.07,8.61,15.7,0.549,0.0,0.662,3.34,8.57,11.91,2.73,0.67,2.51,3.4,3.1,21.11
Tim Duncan,1998,SA,50,39.26,8.36,16.9,0.495,0.143,0.69,3.18,8.24,11.42,2.42,0.9,2.52,2.92,2.94,21.68
Tim Duncan,1999,SA,74,38.85,8.49,17.31,0.49,0.091,0.761,3.54,8.86,12.41,3.16,0.89,2.23,3.27,2.84,23.19
Tim Duncan,2000,SA,82,38.71,8.56,17.15,0.499,0.259,0.618,3.16,9.0,12.16,2.99,0.85,2.34,2.95,3.01,22.2
Tim Duncan,2001,SA,82,40.6,9.32,18.34,0.508,0.1,0.799,3.27,9.44,12.71,3.74,0.74,2.48,3.21,2.65,25.48
Tim Duncan,2002,SA,81,39.27,8.81,17.19,0.513,0.273,0.71,3.2,9.68,12.88,3.9,0.68,2.93,3.06,2.85,23.26
Tim Duncan,2003,SA,69,36.62,8.58,17.12,0.501,0.167,0.599,3.29,9.16,12.45,3.09,0.9,2.68,2.65,2.38,22.29
Tim Duncan,2004,SA,66,33.38,7.83,15.79,0.496,0.333,0.67,3.06,8.03,11.09,2.71,0.68,2.64,1.92,2.18,20.33
Tim Duncan,2005,SA,80,34.8,7.18,14.81,0.484,0.4,0.629,2.89,8.13,11.01,3.16,0.88,2.03,2.48,2.74,18.56
Tim Duncan,2006,SA,80,34.06,7.73,14.14,0.546,0.111,0.637,2.66,7.91,10.58,3.41,0.83,2.38,2.79,2.54,19.99
Tim Duncan,2007,SA,78,33.99,7.5,15.1,0.497,0.0,0.73,3.04,8.26,11.29,2.79,0.72,1.95,2.28,2.37,19.33
Tim Duncan,2008,SA,75,33.63,7.44,14.76,0.504,0.0,0.692,2.68,7.99,10.67,3.52,0.51,1.68,2.2,2.31,19.33
Tim Duncan,2009,SA,78,31.26,7.19,13.87,0.518,0.182,0.725,2.83,7.27,10.1,3.15,0.58,1.5,1.79,1.95,17.88
Tim Duncan,2010,SA,76,28.37,5.51,11.03,0.5,0.0,0.716,2.22,6.7,8.92,2.67,0.66,1.92,1.61,1.57,13.45
Tim Duncan,2011,SA,58,28.17,6.22,12.64,0.492,0.0,0.695,1.9,7.07,8.97,2.28,0.66,1.52,1.67,1.69,15.43
Tim Duncan,2012,SA,69,30.12,7.1,14.14,0.502,0.286,0.817,1.8,8.14,9.94,2.67,0.72,2.65,2.13,1.7,17.78
Tim Duncan,2013,SA,74,29.16,6.0,12.24,0.49,0.0,0.731,2.14,7.61,9.74,2.97,0.58,1.88,2.15,1.81,15.12
Lebron James,2003,CLE,79,39.52,7.87,18.89,0.417,0.29,0.754,1.25,4.22,5.47,5.89,1.65,0.73,3.46,1.89,20.94
Lebron James,2004,CLE,80,42.35,9.94,21.05,0.472,0.351,0.75,1.39,5.96,7.35,7.21,2.21,0.65,3.28,1.83,27.19
Lebron James,2005,CLE,79,42.54,11.08,23.08,0.48,0.335,0.738,0.95,6.09,7.04,6.59,1.56,0.84,3.29,2.29,31.37
Lebron James,2006,CLE,78,40.9,9.9,20.78,0.476,0.319,0.698,1.06,5.68,6.74,6.03,1.6,0.71,3.21,2.19,27.33
Lebron James,2007,CLE,75,40.36,10.59,21.89,0.484,0.315,0.712,1.77,6.12,7.89,7.19,1.84,1.08,3.4,2.2,30.0
Lebron James,2008,CLE,81,37.7,9.74,19.91,0.489,0.344,0.78,1.31,6.26,7.57,7.25,1.69,1.15,2.98,1.72,28.44
Lebron James,2009,CLE,76,39.03,10.11,20.11,0.503,0.333,0.767,0.93,6.36,7.29,8.57,1.64,1.01,3.43,1.57,29.71
Lebron James,2010,MIA,79,38.77,9.59,18.8,0.51,0.33,0.759,1.01,6.46,7.47,7.01,1.57,0.63,3.59,2.06,26.72
Lebron James,2011,MIA,62,37.52,10.02,18.85,0.531,0.362,0.771,1.52,6.42,7.94,6.24,1.85,0.81,3.44,1.55,27.15
Lebron James,2012,MIA,76,37.86,10.07,17.82,0.565,0.406,0.753,1.28,6.75,8.03,7.25,1.7,0.88,2.97,1.45,26.79
Lebron James,2013,MIA,77,37.69,9.96,17.57,0.567,0.379,0.75,1.05,5.87,6.92,6.35,1.57,0.34,3.51,1.64,27.13
Carmelo Anthony,2003,DEN,82,36.52,7.61,17.87,0.426,0.322,0.777,2.23,3.84,6.07,2.77,1.18,0.5,3.01,2.74,21.04
Carmelo Anthony,2004,DEN,75,34.77,7.07,16.4,0.431,0.266,0.796,1.88,3.8,5.68,2.59,0.91,0.4,2.99,3.05,20.77
Carmelo Anthony,2005,DEN,80,36.76,9.45,19.65,0.481,0.243,0.808,1.53,3.4,4.93,2.7,1.1,0.53,2.73,2.86,26.53
Carmelo Anthony,2006,DEN,65,38.25,10.63,22.35,0.476,0.268,0.808,2.2,3.82,6.02,3.83,1.18,0.35,3.6,3.12,28.94
Carmelo Anthony,2007,DEN,77,36.44,9.45,19.23,0.492,0.354,0.786,2.31,5.1,7.42,3.36,1.27,0.51,3.29,3.29,25.69
Carmelo Anthony,2008,DEN,66,34.5,8.11,18.29,0.443,0.371,0.793,1.61,5.21,6.82,3.36,1.14,0.36,3.02,2.95,22.79
Carmelo Anthony,2009,DEN,69,38.17,9.97,21.77,0.458,0.316,0.83,2.2,4.38,6.58,3.22,1.28,0.43,3.03,3.26,28.16
Carmelo Anthony,2010,NY,77,36.19,9.15,19.85,0.461,0.424,0.872,1.52,5.19,6.7,3.0,0.93,0.56,2.37,3.33,26.33
Carmelo Anthony,2011,NY,55,34.11,8.02,18.64,0.43,0.335,0.804,1.6,4.65,6.25,3.64,1.13,0.44,2.62,2.84,22.64
Carmelo Anthony,2012,NY,67,37.04,9.99,22.22,0.449,0.379,0.83,2.0,4.87,6.87,2.55,0.78,0.48,2.61,3.06,28.66
Carmelo Anthony,2013,NY,77,38.73,9.65,21.34,0.452,0.402,0.848,1.88,6.19,8.08,3.14,1.23,0.66,2.57,2.91,27.43
Kobe Bryant,1996,LAL,71,15.54,2.48,5.94,0.417,0.375,0.819,0.66,1.2,1.86,1.28,0.69,0.32,1.58,1.44,7.59
Kobe Bryant,1997,LAL,79,26.03,4.95,11.56,0.428,0.341,0.794,1.0,2.06,3.06,2.52,0.94,0.51,1.99,2.28,15.44
Kobe Bryant,1998,LAL,50,37.92,7.24,15.58,0.465,0.267,0.839,1.06,4.22,5.28,3.8,1.44,1.0,3.14,3.06,19.92
Kobe Bryant,1999,LAL,66,38.24,8.39,17.92,0.468,0.319,0.821,1.64,4.67,6.3,4.89,1.61,0.94,2.76,3.33,22.5
Kobe Bryant,2000,LAL,68,40.93,10.31,22.21,0.464,0.305,0.853,1.53,4.34,5.87,4.97,1.68,0.63,3.24,3.26,28.5
Kobe Bryant,2001,LAL,80,38.29,9.36,19.96,0.469,0.25,0.829,1.4,4.11,5.51,5.48,1.48,0.44,2.79,2.85,25.24
Kobe Bryant,2002,LAL,82,41.48,10.59,23.46,0.451,0.383,0.843,1.29,5.59,6.88,5.87,2.21,0.82,3.51,2.66,30.01
Kobe Bryant,2003,LAL,65,37.65,7.94,18.12,0.438,0.327,0.852,1.58,3.94,5.52,5.08,1.72,0.43,2.63,2.71,23.95
Kobe Bryant,2004,LAL,66,40.74,8.68,20.06,0.433,0.339,0.816,1.44,4.5,5.94,6.03,1.3,0.8,4.09,2.64,27.56
Kobe Bryant,2005,LAL,80,40.95,12.23,27.16,0.45,0.347,0.85,0.89,4.43,5.31,4.5,1.84,0.38,3.13,2.91,35.4
